match_id,date,year,tournament_name,event_name,is_official,player_1_name,player_1_smash_id,player_1_region,player_1_pr,player_1_score,player_1_legends,player_2_name,player_2_smash_id,player_2_score,player_2_legends,winner,maps
67322836,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,1,"MORDEX, RAYMAN, WU_SHANG, MORDEX",Kyna,135748,3,"TEROS, TEROS, TEROS, TEROS",Player 2,"FortressoftheLions, Apocalypse, DemonIsland, FortressoftheLions"
67322820,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,1,"RAYMAN, RAYMAN, TEROS, RAYMAN",yüz,73254,3,", , , ",Player 2,"Apocalypse, Apocalypse, MiamiDome, Apocalypse"
67322818,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,"RAYMAN, RAYMAN, RAYMAN",Impala,168635,0,"EMBER, KAYA, EMBER",Player 1,"MiamiDome, MiamiDome, FortressoftheLions"
67317310,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,"RAYMAN, RAYMAN, RAYMAN, RAYMAN",megD,142100,1,"VAL, VAL, VAL, VAL",Player 1,"FortressoftheLions, FortressoftheLions, DemonIsland, DemonIsland"
67317302,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,Not Reported,Zennnnn,141522,2,Not Reported,Player 1,Not Reported
67245650,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, WU_SHANG, WU_SHANG",Pugsy,146298,0,"JHALA, JHALA, JHALA",Player 1,"FortressoftheLions, FortressoftheLions, FortressoftheLions"
67245646,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,Not Reported,prplexity,149264,0,Not Reported,Player 1,Not Reported
67242719,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,Not Reported,Angelos,146049,0,Not Reported,Player 1,Not Reported
67242715,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,Not Reported,Credentials,96858,0,Not Reported,Player 1,Not Reported
67242707,2023-11-03,2023,Brawlhalla World Championship Expo 2023,1v1,Yes,Zivai,2580895,EU,1,3,Not Reported,b-rog,158537,0,Not Reported,Player 1,Not Reported
66406207,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"RAYMAN, RAYMAN, RAYMAN",megD,142100,0,"VAL, VAL, VAL",Player 1,"Brawlhaven, DemonIsland, MiamiDome"
66406200,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,0,"RAYMAN, TEROS, TEROS",lores,132,3,"KAYA, KAYA, KAYA",Player 2,"DemonIsland, DemonIsland, DemonIsland"
66406199,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,2,"WU_SHANG, MORDEX, WU_SHANG, WU_SHANG, WU_SHANG",lores,132,3,"KAYA, KAYA, KAYA, KAYA, KAYA",Player 2,"FortressoftheLions, DemonIsland, FortressoftheLions, DemonIsland, MiamiDome"
66372485,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"MORDEX, MORDEX, MORDEX, WU_SHANG",Kyna,135748,1,"TEROS, TEROS, TEROS, TEROS",Player 1,"DemonIsland, DemonIsland, DemonIsland, Apocalypse"
66372482,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, MORDEX, MORDEX, WU_SHANG, WU_SHANG",lores,132,2,"KAYA, KAYA, KAYA, KAYA, KAYA",Player 1,"DemonIsland, DemonIsland, DemonIsland, FortressoftheLions, FortressoftheLions"
66372479,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, WU_SHANG, WU_SHANG",luna,51494,0,"VOLKOV, VOLKOV, ASURI",Player 1,"Apocalypse, Apocalypse, Apocalypse"
66372476,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, WU_SHANG, WU_SHANG",Mounir,79853,0,"JAEYUN, RAYMAN, JAEYUN",Player 1,"MiamiDome, Apocalypse, MiamiDome"
66372472,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, WU_SHANG, WU_SHANG, WU_SHANG",Sandstorm,74433,1,"TEZCA, TEZCA, TEZCA, TEZCA",Player 1,"Apocalypse, Apocalypse, Apocalypse, Apocalypse"
66372467,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, WU_SHANG, WU_SHANG, WU_SHANG",Neeze,149303,1,"MORDEX, MORDEX, MORDEX, MORDEX",Player 1,"Apocalypse, Apocalypse, Apocalypse, Apocalypse"
66372462,2023-10-14,2023,Brawlhalla - Autumn Royale 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,2,"WU_SHANG, WU_SHANG, WU_SHANG, TEROS, TEROS",megD,142100,3,"VAL, VAL, VAL, VAL, VAL",Player 2,"FortressoftheLions, DemonIsland, DemonIsland, DemonIsland, DemonIsland"
65474519,2023-09-23,2023,Europe - Autumn Championship 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"MORDEX, MORDEX, MORDEX",Neeze,149303,0,"ASURI, VAL, ASURI",Player 1,"TheEnigma, Apocalypse, DemonIsland"
65474518,2023-09-23,2023,Europe - Autumn Championship 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"MORDEX, MORDEX, MORDEX, MORDEX",Neeze,149303,1,"BODVAR, VAL, VAL, VAL",Player 1,"FortressoftheLions, Apocalypse, Apocalypse, Apocalypse"
65474516,2023-09-23,2023,Europe - Autumn Championship 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"MORDEX, MORDEX, MORDEX, WU_SHANG",lil mevv,149208,1,"CASPIAN, XULL, CASPIAN, CASPIAN",Player 1,"Apocalypse, Apocalypse, Apocalypse, Apocalypse"
65474435,2023-09-23,2023,Europe - Autumn Championship 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, MORDEX, MORDEX",heartbleat,78710,0,"KOJI, ASURI, KOJI",Player 1,"MiamiDome, Apocalypse, MiamiDome"
65474427,2023-09-23,2023,Europe - Autumn Championship 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,"WU_SHANG, JHALA, JHALA",Seijaru,110498,0,", KOJI, KOJI",Player 1,"MiamiDome, Apocalypse, FortressoftheLions"
65473949,2023-09-23,2023,Europe - Autumn Championship 2023,Brawlhalla Championship 1v1,Yes,Zivai,2580895,EU,1,3,Not Reported,Bleron,46361,0,Not Reported,Player 1,Not Reported
